date,frcc,tocc,trdval,finval
20030331,FR,EE,34417937.0,34417937.0
20030331,IE,SK,4977232.0,4977232.0
20030331,IE,TR,38628327.0,38628327.0
20030331,AU,SI,-7516036.0,-7516036.0
20030331,IT,PT,507301238.0,507301238.0
20030331,CA,IL,-56640443.0,-56640443.0
20030331,TR,HU,-22915440.0,-22915440.0
20030331,DK,PT,-960482.0,-960482.0
20030331,LU,LV,500518.0,500518.0
20030331,SE,GB,332968146.0,332968146.0
20030331,ES,JP,-607861287.0,-607861287.0
20030331,SE,CA,227587786.0,227587786.0
20030331,GR,PT,-13755425.0,-13755425.0
20030331,AU,SE,-257981259.0,-257981259.0
20030331,TR,AT,-65832117.0,-65832117.0
20030331,US,FI,-557100000.0,-557100000.0
20030331,DK,NL,-154509459.0,-154509459.0
20030331,FR,DE,-4794861567.0,-4794861567.0
20030331,US,NO,-798200000.0,-798200000.0
20030331,AT,SE,-12285915.0,-12285915.0
20030331,NL,IT,2762203587.0,2762203587.0
20030331,FI,LV,52524618.0,52524618.0
20030331,US,AU,1357200000.0,1357200000.0
20030331,US,PL,-143500000.0,-143500000.0
20030331,LU,IL,1297948.0,1297948.0
20030331,NL,LU,95461215.0,95461215.0
20030331,GR,LU,-31385335.0,-31385335.0
20030331,JP,KR,3959797717.0,3959797717.0
20030331,IT,KR,-272837632.0,-272837632.0
20030331,LU,CL,4330450.0,4330450.0
20030331,DK,GB,286062258.0,286062258.0
20030331,GB,MX,-20639576.0,-20639576.0
20030331,US,AT,-613000000.0,-613000000.0
20030331,NL,CA,-66514212.0,-66514212.0
20030331,PT,AT,-39540472.0,-39540472.0
20030331,JP,LU,14158246.0,14158246.0
20030331,SE,GR,89975487.0,89975487.0
20030331,GB,IE,927996237.0,927996237.0
20030331,BE,IL,179127023.0,179127023.0
20030331,BE,FR,3170629808.0,3170629808.0
20030331,GR,IL,-15848801.0,-15848801.0
20030331,BE,US,420035911.0,420035911.0
20030331,BE,HU,-112615454.0,-112615454.0
20030331,IE,HU,12487258.0,12487258.0
20030331,SE,DK,-273491856.0,-273491856.0
20030331,AU,IE,-245662151.0,-245662151.0
20030331,DK,IT,-23284160.0,-23284160.0
20030331,CL,NL,181889834.0,181889834.0
20030331,ES,IT,-682689192.0,-682689192.0
20030331,NL,LV,19111673.0,19111673.0
20030331,GR,US,-263761848.0,-263761848.0
20030331,LU,AU,1977172.0,1977172.0
20030331,US,MX,-11237900000.0,-11237900000.0
20030331,CA,TR,-74028863.0,-74028863.0
20030331,NL,JP,-1914311346.0,-1914311346.0
20030331,US,JP,-17122000000.0,-17122000000.0
20030331,GB,NL,436470156.0,436470156.0
20030331,GR,SK,-7737516.0,-7737516.0
20030331,FI,FR,73123917.0,73123917.0
20030331,IE,SE,179620406.0,179620406.0
20030331,AT,DE,-2649097955.0,-2649097955.0
20030331,CL,FI,-61568464.0,-61568464.0
20030331,NO,CH,-58315511.0,-58315511.0
20030331,CA,IE,-214241510.0,-214241510.0
20030331,ES,MX,147107290.0,147107290.0
20030331,IT,JP,-319491131.0,-319491131.0
20030331,GB,CA,-331238167.0,-331238167.0
20030331,CA,KR,-522569362.0,-522569362.0
20030331,CH,CA,139955495.0,139955495.0
20030331,AT,EE,10543278.0,10543278.0
20030331,CL,US,515048721.0,515048721.0
20030331,DK,AU,75188346.0,75188346.0
20030331,AT,SI,47326595.0,47326595.0
20030331,CH,PL,106428627.0,106428627.0
20030331,FR,GR,459606186.0,459606186.0
20030331,NO,CL,-1885042.0,-1885042.0
20030331,US,CL,-730400000.0,-730400000.0
20030331,BE,CA,74879753.0,74879753.0
20030331,NO,HU,-34700294.0,-34700294.0
20030331,NO,SK,-6035865.0,-6035865.0
20030331,CH,DE,-2270245582.0,-2270245582.0
20030331,NO,KR,-96472877.0,-96472877.0
20030331,DE,NL,-5163446223.0,-5163446223.0
20030331,GR,PL,-6426180.0,-6426180.0
20030331,GB,DE,-4777736439.0,-4777736439.0
20030331,ES,SI,60268820.0,60268820.0
20030331,IE,KR,-132219102.0,-132219102.0
20030331,AU,US,-1901586308.0,-1901586308.0
20030331,DE,NO,-2413994224.0,-2413994224.0
20030331,IT,CL,-163782635.0,-163782635.0
20030331,ES,LU,-57791752.0,-57791752.0
20030331,CH,HU,24500886.0,24500886.0
20030331,SE,IL,47543459.0,47543459.0
20030331,AU,PT,-25732654.0,-25732654.0
20030331,AU,CH,-95439350.0,-95439350.0
20030331,DE,FR,5341119937.0,5341119937.0
20030331,CA,GR,3884161.0,3884161.0
20030331,FI,GB,509146634.0,509146634.0
20030331,PT,IL,7611686.0,7611686.0
20030331,IT,SE,-195338647.0,-195338647.0
20030331,JP,CL,-580481854.0,-580481854.0
20030331,AT,BE,-232357534.0,-232357534.0
20030331,GB,CH,-87130431.0,-87130431.0
20030331,PT,CL,9024200.0,9024200.0
20030331,JP,US,13850272652.0,13850272652.0
20030331,AT,HU,-305576067.0,-305576067.0
20030331,FI,LU,-9520975.0,-9520975.0
20030331,GB,PL,-52691587.0,-52691587.0
20030331,AT,IT,700460097.0,700460097.0
20030331,BE,IT,1509258300.0,1509258300.0
20030331,FR,SK,37466690.0,37466690.0
20030331,ES,SE,-268535386.0,-268535386.0
20030331,NO,NL,1330977664.0,1330977664.0
20030331,PT,HU,4075352.0,4075352.0
20030331,IT,MX,402563932.0,402563932.0
20030331,KR,FI,112459030.0,112459030.0
20030331,AU,FR,-432281221.0,-432281221.0
20030331,AT,FI,-10551256.0,-10551256.0
20030331,DE,CZ,-331748702.0,-331748702.0
20030331,TR,GR,109665192.0,109665192.0
20030331,AT,IE,-36732784.0,-36732784.0
20030331,CH,PT,52724519.0,52724519.0
20030331,SE,HU,29201458.0,29201458.0
20030331,AU,GB,579491438.0,579491438.0
20030331,JP,BE,959507332.0,959507332.0
20030331,IT,SK,-13782393.0,-13782393.0
20030331,CA,ES,-49937582.0,-49937582.0
20030331,US,IL,-1566400000.0,-1566400000.0
20030331,GB,FI,-460167126.0,-460167126.0
20030331,NO,IL,4588168.0,4588168.0
20030331,IE,BE,2005912343.0,2005912343.0
20030331,LU,CA,-1078185.0,-1078185.0
20030331,US,DK,-481500000.0,-481500000.0
20030331,ES,PT,2016118845.0,2016118845.0
20030331,PT,NO,-133937294.0,-133937294.0
20030331,AU,CZ,-7370768.0,-7370768.0
20030331,DK,ES,272759038.0,272759038.0
20030331,LU,PT,14365437.0,14365437.0
20030331,FR,PL,435923351.0,435923351.0
20030331,NO,US,713202514.0,713202514.0
20030331,AU,SK,-39162.0,-39162.0
20030331,NL,FR,4228249507.0,4228249507.0
20030331,US,KR,-2669800000.0,-2669800000.0
20030331,TR,GB,-38602769.0,-38602769.0
20030331,TR,LV,5606074.0,5606074.0
20030331,BE,SE,-355965529.0,-355965529.0
20030331,FI,IL,17406469.0,17406469.0
20030331,LU,CH,32598457.0,32598457.0
20030331,NO,LV,1348970.0,1348970.0
